sale_date,product_id,store_id,region,real_manager_name,manager_key,manager_masked,qty_sold,qty_ordered,projected_inventory_on_hand,inventory_health_status
2025-12-20,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,73,0,1452,Healthy
2025-12-21,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,82,0,1370,Healthy
2025-12-22,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,87,0,1283,Healthy
2025-12-23,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,75,0,1208,Healthy
2025-12-24,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,53,0,1155,Healthy
2025-12-25,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,69,0,1086,Healthy
2025-12-26,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,78,0,1008,Healthy
2025-12-27,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,61,0,947,Healthy
2025-12-28,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,92,0,855,Healthy
2025-12-29,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,94,0,761,Healthy
2025-12-30,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,91,200,870,Healthy
2025-12-31,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,65,0,805,Healthy
2026-01-01,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,75,0,730,Healthy
2026-01-02,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,77,0,653,Healthy
2026-01-03,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,88,0,565,Healthy
2026-01-04,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,83,0,482,Healthy
2026-01-05,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,85,0,397,Healthy
2026-01-06,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,81,0,316,Healthy
2026-01-07,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,52,0,264,Healthy
2026-01-08,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,69,1000,1195,Healthy
2026-01-09,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,73,0,1122,Healthy
2026-01-10,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,85,0,1037,Healthy
2026-01-11,2,10,North,Christian Bauer,a0be799c0ed336c305dd863bdbdff013,C***,82,0,955,Healthy
